﻿Раздел;Название зала;Комплекс;Город;Страна;Регион;Вместимость;Архитектор;Акустический консультант;Открытие/сдача;Комментарий;Источник;Доп. источники;ФОТО;Статус
Театральные залы;Sala Pepsi Black;Pepsi Center WTC;Мехико;Мексика;Латинская Америка;370-372;н/д;н/д;"25 марта 2025 (открытие для музыки); 16 августа 2025 (открытие как театральная площадка)";Самый камерный концертно-театральный зал Мехико внутри World Trade Center, задуман как многофункциональная площадка для концертов, стендапа, подкастов и театра.;https://www.infobae.com/mexico/2025/03/25/llega-la-sala-pepsi-black-el-espacio-de-conciertos-mas-intimo-de-la-ciudad-de-mexico-donde-solo-caben-370-fans/;;;не проверен
Театральные залы;UniPort Arts Theatre;Факультет гуманитарных наук Университета Порт-Харкорта;Порт-Харкорт;Нигерия;Африка;350;н/д (проект TETFund 2023 Annual Intervention);н/д;сен.25;Университетский театр для факультета театра и кино: сценический комплекс с гримёрными и мастерскими для учебных постановок и экзаменов.;https://elanhub.net/uniport-unveils-arts-theatre-to-boost-theatre-and-film-training/;;;не проверен
Театральные залы;Strathcona Performing Arts Centre;Bonnyville Centralized High School;Боннивилль (Альберта);Канада;Северная Америка;340;н/д;н/д;"21 марта 2025 (первый концерт); официальное торжественное открытие — 2 мая 2025";"Современный концертный/театральный зал построен на месте школьного спортзала при поддержке Clayton Bellamy Foundation for the Arts; первым выступил местный уроженец, музыкант Mike Plume.";https://respectnews.ca/news/strathcona-performing-arts-centre-is-ready-to-raise-the-curtain/;;;не проверен
Театральные залы;Le Grand-Espace;Centre des arts de la scène Jean-Besré;Шербрук (Квебек);Канада;Северная Америка;300–310;Atelier Paul Laurendeau / NEUF Architect(e)s (консорциум);н/д (сценография — Trizart Alliance);23 мая 2025 (торжественное открытие);Чёрный кубический black box театр с моторизованной телескопической трибуной (12 рядов), позволяющей менять конфигурацию зала от фронтальной до «лицом к лицу».;https://www.newswire.ca/fr/news-releases/le-grand-espace-une-nouvelle-salle-de-spectacles-specialisee-en-theatre-et-en-danse-voit-le-jour-a-sherbrooke-849331544.html;https://www.paullaurendeau.com/projects-1/le-grand-espace-theater;;не проверен
Театральные залы;Pyeongtaek Art Center — Small Theatre;Pyeongtaek Art Center;Пхёнтхэк;Республика Корея;Азия;305;"Nowdongin Architects; Heerim Architects & Planners";н/д;"18 декабря 2025 (сдача); открытие — 30 января 2026";Малый зал многофункционального арт-центра для камерных постановок и локальных коллективов.;https://www.mt.co.kr/policy/2025/12/18/2025121817251499986;"https://www.asiae.co.kr/en/article/2025102711395678682; https://www.stagesoundkorea.com/%ed%8f%89%ed%83%9d%ec%95%84%ed%8a%b8%ec%84%bc%ed%84%b0-%eb%8c%80%ea%b7%b9%ec%9e%a5/ — акустический консультант не назван (упоминается только описание акустического решения зала)";;не проверен
Театральные залы;Teatro Nazionale;н/д;Флоренция;Италия;Европа;около 300 (партер подковой + 4 яруса лож);Archea Associati / Marco Casamonti;Studio Sound Service;ноябрь 2025 (открытие после реставрации, полноценные показы — с февраля 2026);"Театр XVII века у Пьяцца делла Синьория, четыре года реставрации после структурного упадка; установлена новая акустическая система для концертных программ.";https://www.florencedailynews.com/2025/11/17/historic-teatro-nazionale-reopens-after-four-year-restoration-in-central-florence/;"https://www.archea.it/progetto/teatro-nazionale/ (circa 300 posti); https://www.studiosoundservice.com/it/progetti/teatro-nazionale-firenze-1 (progetto acustico ed elettroacustico di Studio Sound Service)";;не проверен
Театральные залы;Nakdong Art Center — Ensemble Theater;Nakdong Art Center;Пусан (Канседжу);Республика Корея;Азия;292 (в ряде источников указано 300);н/д;н/д;"строительство завершено к июню 2025; открытие — 10 января 2026";Многофункциональный театральный зал комплекса Nakdong Art Center для оперы, балета, драмы и джаза.;https://www.busan.go.kr/eng/bsnews01/1714841;;;не проверен
Театральные залы;Jenny Boyd Theatre;Clarence Brown Theatre, University of Tennessee, Knoxville;Ноксвилл (Теннесси);США;Северная Америка;300;Sanders Pace Architecture;Threshold Acoustics;"7 ноября 2025 (торжественное открытие/посвящение здания); первая постановка (Cabaret) — начало 2026 сезона";"Реконструкция (тип: реконструкция) — новое здание заменило открытый театр-'карусель' 1950-х годов; трансформируемый зал с люковой сценой для конфигураций арена/трэст/просцениум.";https://news.utk.edu/2025/11/10/ut-dedicates-jenny-boyd-theatre/;http://sanderspace.com/project/university-of-tennessee-carousel-theatre/;;не проверен
Театральные залы;Joseph Clayes III Theater (The Clayes);The Joan and Irwin Jacobs Performing Arts Center;Сан-Диего, Калифорния;США;Северная Америка;282;obr Architecture;н/д (театральное проектирование Fisher Dachs Associates);"5 сентября 2025 (открытие); первый показ 10.09.2025";Историческое здание ВМС 1942 года (бывший клуб с боулингом и танцполом) превращено в двухзальный театральный центр со специально спроектированной акустической крышей.;https://www.americantheatre.org/2025/09/08/cygnet-theatre-unveils-new-home-at-the-joan/;;;не проверен
Театральные залы;METTRIN Központ (главный многофункциональный зал);METTRIN Központ;Банк;Венгрия;Европа;280;Ferdinánd Árpád;"Специализированный акустический консультант не выявлен; акустическая отделка выполнена в рамках архитектурного проекта: базовая стена зала (трапециевидная форма) облицована звукопоглощающим слоем (hangelnyelő réteg), часть стеклянных стен зала может закрываться подвижными звукопоглощающими шторами (sötétítő-hangelnyelő motoros függöny) для регулировки акустики.";27 марта 2025;"Новый арт-центр у озера Банк с крышей в форме бабочки, оснащён современной свето- и звуковой техникой; художественный руководитель — Balázs Zoltán.";https://carrie.hu/kult/egyedulallo-muveszeti-kozpont-nyilik-bankon/;"https://www.arts.mettrin.hu/the-building-complex/; https://epiteszforum.hu/organikus-es-modern-mettrin-rendezvenykozpont-bankon — акустический консультант не упомянут | https://www.mettrin.hu/muszaki-adottsagok/";;не проверен
Театральные залы;Schiller-Theater (Großes Haus);Theater Rudolstadt;Рудольштадт;Германия;Европа;275;SIGMA PLAN Weimar GmbH;н/д;6–7 сентября 2025 (тип: реконструкция);После более чем 8 лет реконструкции (изначально из-за паводковых повреждений, зал пришлось снести и построить заново) театр открыт под новым именем в честь Шиллера.;https://www.zeit.de/news/2025-09/07/schiller-theater-rudolstadt-eroeffnet-nach-acht-jahren-umbau;"https://www.zeit.de/news/2025-09/07/schiller-theater-rudolstadt-eroeffnet-nach-acht-jahren-umbau; https://www.rsb-rudolstadt.de/projekt/schiller-theater-rudolstadt/ — источники называют только архитектора (SIGMA PLAN WEIMAR GmbH), акустический консультант нигде не указан";;не проверен
Театральные залы;Finkelstein Performing Arts Center (театральный зал);Finkelstein Performing Arts Center, Crafton Hills College;Юкайпа (Калифорния);США;Северная Америка;274;DLR Group;DLR Group (in-house acoustics design);19 сентября 2025 (торжественное открытие);Новое здание на 24 000 кв. футов заменило оригинальный центр искусств 1978 года, оснащено современным проскениумным театральным залом для музыки и драмы.;https://www.dlrgroup.com/firm-news/crafton-hills-college-performing-arts-center-ribbon-cutting/;https://www.dlrgroup.com/work/crafton-hills-college-pac/;;не проверен
Театральные залы;Театр Schwarzman Centre (250 мест);Stephen A. Schwarzman Centre for the Humanities;Оксфорд;Великобритания;Европа;250;Hopkins Architects;"Charcoalblue (театральный консультант); Arup (акустика кампуса)";окт.25;Часть нового гуманитарного кампуса Оксфорда, спроектированного по принципам Passivhaus, с чёрным ящиком для экспериментальной музыки.;https://www.charcoalblue.com/projects/the-schwarzman-centre-for-humanities;;;не проверен
Театральные залы;SKA (Schaerbeekse Kinema/Ancien cinéma-théâtre) — большой зал 240 мест;SKA, культурный центр Схарбека;Брюссель;Бельгия;Европа;240;Ouest Architecture (Брюссель);Kahle Acoustics (Vincent Berrier, Thomas Wulfrank);окт.25;"Реконструкция бывшего кинотеатра-театра в муниципальный культурный центр; зал на 240 мест с раздвижными трибунами для усиленных и неусиленных представлений, деревянные абсорбирующие панели по бокам партера.";https://kahle-acoustics.com/en/ref/skaBrussels-.html;;;не проверен
Театральные залы;Большой зрительный зал;Театр для детей и молодёжи «Мастерская» (здание бывшего кинотеатра «Россия»);Самара;Россия;Россия и СНГ;218;н/д (реконструкция в рамках нацпроекта «Культура»);н/д;5 мая 2025;Театр разместился в реконструированном здании советского кинотеатра, премьерный спектакль «Рядовые» приурочен к 80-летию Победы.;https://www.kommersant.ru/doc/7709955;https://www.kommersant.ru/doc/7709955 — акустический консультант проекта не указан в опубликованных материалах;;не проверен
Театральные залы;Nancy & Ed Jackman Performance Centre (Performance Hall);Nancy & Ed Jackman Performance Centre, 877 Yonge Street;Торонто (Онтарио);Канада;Северная Америка;до 200 (90–144 мест на трибунах);Hilditch Architects;н/д;17 марта 2025;"Новый совместный дом трупп Tapestry Opera и Nightwood Theatre в переоборудованном здании бывшего социального жилья St. Clare's; гибкий модульный зал с трансформируемыми рядами кресел.";https://tapestryopera.com/877-yonge-street/;https://www.nightwoodtheatre.net/877-yonge/;;не проверен
Театральные залы;West Bund Grand Theatre — black box (西岸大剧院小剧场);West Bund Grand Theatre;Шанхай;Китай;Азия;200;"Schmidt Hammer Lassen; Perkins&Will";"East China Architectural Design & Research Institute (ECADI); театральный консультант Theatre Projects";2025;Компактный экспериментальный «чёрный ящик» для камерных и авангардных постановок в составе нового театрального комплекса на набережной Хуанпу.;https://perkinswill.com/project/west-bund-grand-theatre/;;;не проверен
Театральные залы;Sala Operowa;Kampus Akademii Muzycznej im. Feliksa Nowowiejskiego;Быдгощ;Польша;Европа;198 (175 партер + балкон);plus3-architekci (Katarzyna Głażewska, Krzysztof Bagiński);ewkAkustika (Ewa Więckowska-Kosmala);30 сентября 2025;Оперно-театральный зал со сценой, оснащённой люком и колосниковой системой, часть нового кампуса.;https://www.rigips.pl/obiekty-referencyjne/sport-kultura/kampus-akademii-muzycznej;;;не проверен
Театральные залы;Cherry Lane Theatre;н/д;Нью-Йорк (Гринвич-Виллидж);США;Северная Америка;"167 (основной зал; студийный зал — 60 мест)";Leroy Street Studio;н/д;сен.25;"Старейший непрерывно работающий офф-Бродвейский театр (с 1924 года) капитально реконструирован кинокомпанией A24 как её первый физический культурный объект; сохранены кирпичная кладка и историческая структура.";https://architizer.com/projects/cherry-lane-theatre/;"https://en.wikipedia.org/wiki/Cherry_Lane_Theatre (Capacity: 167 main stage, 60 studio); acoustics consultant не найден — упомянуты только интеграторы звукового оборудования (Moving Image Technologies, LEA Professional) — оставлено н/д";;не проверен
Театральные залы;Wakefield Family Studio;The Court Theatre;Крайстчерч;Новая Зеландия;Океания;120-150;"Haworth Tompkins; Athfield Architects";Marshall Day Acoustics;май 2025 (официальное открытие 4 мая 2025);Малый студийный зал того же комплекса Court Theatre для детского театра и импровизационных постановок.;https://marshallday.com/projects/the-court-theatre;;;не проверен
Театральные залы;Dorothea Laub Studio Theater (The Dottie);The Joan and Irwin Jacobs Performing Arts Center;Сан-Диего, Калифорния;США;Северная Америка;150;obr Architecture;Threshold Acoustics;5 сентября 2025;Малая студийная сцена в составе нового театрального центра Cygnet Theatre, с гибкой конфигурацией зрительских мест и звукопоглощающими панелями.;https://www.americantheatre.org/2025/09/08/cygnet-theatre-unveils-new-home-at-the-joan/;https://www.livedesignonline.com/theatre/cygnet (Acoustics: Threshold Acoustics);;не проверен
Театральные залы;Teatro MACA;Museo de Arte Contemporáneo Atchugarry (MACA);Манантьялес, Мальдонадо;Уругвай;Латинская Америка;150;н/д (инициатор — скульптор Pablo Atchugarry);н/д;12.04.2025;Новый зал сценических искусств на территории музея под открытым небом, стал домом Международного театрального фестиваля MACA.;https://macamuseo.org/prensa/inauguran-teatro-maca-con-festival-internacional-gratuito-y-agenda-imperdible-para-semana-de-turismo-en-uruguay;;;не проверен
Театральные залы;Grivița 53;н/д;Бухарест;Румыния;Европа;140;Codrin Trițescu (общая концепция и руководство проектной командой);н/д;сентябрь 2025 (открытие для публики), первые спектакли ноябрь 2025;"Первый частный театр, построенный в Румынии примерно за 80 лет, профинансирован краудфандингом и грантами EEA; современная акустика и сценическая техника.";https://www.romania-insider.com/grivita-53-theater-unveiled-bucharest-sept-2025;"https://www.revistabiz.ro/cum-va-arata-teatrul-grivita-53/ (Arhitectul Codrin Trițescu a finalizat proiectul); acoustics consultant не найден в открытых источниках — оставлено н/д";;не проверен
Театральные залы;Sala Estúdio Valentim de Barros;Jardins do Bombarda (центр LARGO Residências);Лиссабон;Португалия;Европа;99–100 (раскладные трибуны black box);Trabalhar com os 99% (ateliermob);н/д;27 марта 2025;Бывший навес-склад психиатрической больницы Мигел Бомбарда превращён в интимный зал-«блэкбокс», названный в честь танцора Валентина де Барроша.;https://largoresidencias.com/salaestudiovalentimdebarros/;https://largoresidencias.com/salaestudiovalentimdebarros/ — архитектура выполнена кооперативом «Trabalhar com os 99%», акустический консультант не упоминается;;не проверен
Театральные залы;Малый зрительный зал;Театр для детей и молодёжи «Мастерская» (здание бывшего кинотеатра «Россия»);Самара;Россия;Россия и СНГ;85;н/д (реконструкция в рамках нацпроекта «Культура»);н/д;5 мая 2025;Второй, камерный зал того же комплекса, включая места для зрителей с ОВЗ.;https://www.kommersant.ru/doc/7709955;https://www.kommersant.ru/doc/7709955 — акустический консультант проекта не указан в опубликованных материалах;;не проверен
Театральные залы;Black box theatre (Theatre Arts Building);University of Miami, Department of Theatre Arts;Корал-Гейблс, Флорида;США;Северная Америка;60;MATEU Architecture Inc.;н/д;начало 2025 (весенний семестр);Новое здание факультета театрального искусства с 60-местным black box залом, используемым для спектаклей, лекций и презентаций.;https://news.miami.edu/as/stories/2025/02/curtain-rises-on-the-new-theater-arts-building.html;;;не проверен
Театральные залы;Kleiner Saal (Ostflügel);Festspielhaus Hellerau;Дрезден;Германия;Европа;н/д;heinlewischer (Stuttgart);н/д;14 сентября 2025 (тип: реконструкция);Новый малый зал в отреставрированном восточном крыле исторического Festspielhaus Hellerau — дополнительная площадка для гастролей, концертов и проб.;https://www.dresden.de/de/rathaus/aktuelles/pressemitteilungen/09/Pm_006.php;"https://www.baumeister.de/hellerau-festspielhaus/; https://www.baunetz-architekten.de/heinlewischer/31321/projekt/10246170; https://www.hellerau.org/ueber-uns/magazin/bautagebuch-ostfluegel — вместимость (capacity) Kleiner Saal не найдена ни в одном источнике, акустический консультант не назван";;не проверен
Театральные залы;Detroit Mercy Black Box Theatre;University of Detroit Mercy, McNichols Campus (Student Union);Детройт, Мичиган;США;Северная Америка;н/д (гибкий блэкбокс);н/д;н/д;29 сентября 2025;Первый выделенный театральный зал кампуса за десятилетия — гибкая площадка для факультета исполнительских искусств и городского сообщества Детройта.;https://www.udmercy.edu/about/news/articles/2025/09-29-black-box-theatre.php;"https://www.udmercy.edu/about/news/articles/2025/09-29-black-box-theatre.php ; https://www.udmercy.edu/life/theatre/blackbox.php — искали architect и acoustics, в пресс-релизах университета и локальных СМИ (WXYZ, WDET) архитектурное бюро и акустический консультант не названы. Оставлено н/д.";;не проверен
Музыкальные залы;TIDES at The Whampoa;The Whampoa (яхта-образный торговый комплекс);Гонконг (Хунхом);Гонконг;Азия;1500;Panorama Design Group;н/д (объявлена 360-градусная звуковая система туровского уровня);14 октября 2025;Новая площадка среднего размера от Live Nation, закрывающая нишу после закрытия Music Zone в Kowloon Bay, зал 30000 кв.футов.;https://hongkongfp.com/2025/10/15/new-mid-sized-music-venue-tides-opens-in-hung-hom-as-owner-live-nation-seeks-to-reassure-residents/;"https://panoramahk.com/TIDES-Hong-Kong-1; https://www.cundall.com/projects/tides-whampoa-indoor-music-venue-acoustic-design";;не проверен
Музыкальные залы;Большой зал имени Антона Рубинштейна;Санкт-Петербургская государственная консерватория им. Н. А. Римского-Корсакова;Санкт-Петербург;Россия;Россия и СНГ;1100;"реставрация — АО «Политехстрой-Сварго»; исторический автор здания — Владимир Николя";Анатолий Лившиц;"разрешение на ввод в эксплуатацию 27 мая 2025; первые акустические тесты — январь 2025, начало концертной жизни — лето-осень 2025";Форму зала изменили с прямоугольной на подковообразную и оснастили технологией переменной акустики после почти 11-летней реставрации памятника архитектуры.;https://www.fontanka.ru/2025/06/20/75614102/;https://spbcult.ru/news/novosti-kultury/restavratsiya-konservatorii-zavershilas-na-god-ranshe-sroka/ — «Большой зал имени А.Г. Рубинштейна... вместимость после реконструкции – 1100 мест»;;не проверен
Музыкальные залы;Festival Concert Hall (Challey Hall);Challey School of Music, North Dakota State University;Фарго, Северная Дакота;США;Северная Америка;989 (новые места после реконструкции);Foss Architecture & Interiors;н/д;"строительство завершено сентябрь 2025; торжественное открытие/ribbon-cutting 26 сентября 2025";Реконструкция существующего Festival Concert Hall (бывший Reineke Fine Arts Center) с новыми хоровыми подмостками и акустическими панелями плюс пристройка 9700 кв. футов с репетиционным залом.;https://www.krausanderson.com/news/kraus-anderson-completes-ndsu-challey-school/;;;не проверен
Музыкальные залы;Durand Performing Arts Center (концертный/многофункциональный зал);Durand Area Schools Performing Arts Center;Дюранд, Мичиган;США;Северная Америка;551;н/д;н/д;торжественное открытие 3 февраля 2025;"Новый концертно-театральный зал школьного округа для музыкальных концертов, спектаклей и собраний; лобби с потолком в форме клавиш фортепиано.";https://www.argus-press.com/news/news_local/article_9117990a-1365-5ceb-8f52-697dbc0f847f.html;;;не проверен
Музыкальные залы;Magasin 4;н/д;Брюссель;Бельгия;Европа;500;CENTRAL (office for architecture and urbanism);Daidalos Peutz;19 сентября 2025;Новый дом легендарного альтернативного/панк-клуба на канале Брюсселя: бетонный «скелет» с гибкой начинкой, потолки выше 7 м и переиспользованные материалы.;https://sau.brussels/sites/magasin-4-0;;;не проверен
Музыкальные залы;Information Ministry's Theatre (مسرح وزارة الإعلام);Здание Министерства информации Омана (Oman TV);Маскат;Оман;Ближний Восток;500;н/д;н/д (аудиоинфраструктура на базе IP-решений Lawo, интегратор Pixel Solutions);25 февраля 2025;"Гибридный концертный/театральный зал, совмещённый с телестудией Oman TV; открыт концертом Королевского оманского симфонического оркестра (ROSO) и голографической оперетты об истории оманских медиа.";https://www.omanobserver.om/article/1166883/oman/community/information-ministry-concert-marks-opening-of-new-theatre;https://timesofoman.com/article/155366-information-ministry-theatre-to-usher-in-new-era-of-cultural-innovation;;не проверен
Музыкальные залы;Salle de spectacle / auditorium du pôle culturel;Pôle culturel de Maisons-Laffitte (conservatoire + salle Malesherbes rénovée);Мезон-Лаффит (Maisons-Laffitte);Франция;Европа;500 (зал спектаклей) + 200 (учебный аудиториум);Atelier Novembre (mandataire) & B2A Architecture (conception de l'enveloppe);Studio DAP;ноя.25;После более чем трёх лет работ старый конservatoire в бытовках заменён новым культурным полюсом с залом на 500 мест и учебным аудиториумом на 200 мест.;https://www.lesechos.fr/pme-regions/ile-de-france/a-maisons-laffitte-un-equipement-culturel-flambant-neuf-vient-douvrir-ses-portes-2201735;"https://b2-a.fr/projets/conservatoire ; http://www.studiodap.fr/portfolio/espace-culturel-malesherbes/";;не проверен
Музыкальные залы;Kulas Hall;Cleveland Institute of Music (CIM);Кливленд;США;Северная Америка;460;J. KURTZ Architects;Threshold Acoustics;сентябрь 2025 (реконструкция завершена);Полная перестройка исторического зала CIM 1961 года: потолок поднят на 9 м до кровли, новые акустические панели и стены, зал для оркестра и оперы.;https://www.cim.edu/aboutcim/news/cims-kulas-hall-wins-award-2026-naiop-awards-excellence;;;не проверен
Музыкальные залы;Konzertsaal / Veranstaltungssaal, Musisches Bildungszentrum Schloss Zeillern;Schloss Zeillern;Цайллерн (Zeillern);Австрия;Европа;400;н/д;Sport- und Akustikbau (акустическая отделка зала);15 июня 2025;Новый концертный/репетиционный зал для духовых оркестров Нижней Австрии на 400 мест внутри отреставрированного замка, центр подготовки для 500+ оркестров.;https://www.noe.gv.at/noe/LH_Mikl-Leitner_eroeffnete_Musisches_Bildungszentrum_auf_.html?print=true;https://sport-akustik.at/project/schloss-zeillern/;;не проверен
Музыкальные залы;Busan Concert Hall — Chamber Hall;Busan International Arts Center / Busan Citizens Park;Пусан;Республика Корея;Азия;400;HAEAHN Architecture;Oh Yang-ki (오양기), профессор Mokpo National University / Korean Acoustical Society — акустический консультант зала (архитектура — dmp/Designcamp Moon Park);20 июня 2025;Камерный зал при новом концертном комплексе Busan Concert Hall, используется для сольных и камерных программ.;https://www.busan.go.kr/eng/bsnews01/1669269;"https://news.nate.com/view/20250630n01811; https://www.stagesoundkorea.com/%eb%b6%80%ec%82%b0%ec%bd%98%ec%84%9c%ed%8a%b8%ed%99%80-%eb%8c%80%ea%b7%b9%ec%9e%a5/";;не проверен
Музыкальные залы;Konzertsaal des Musikgymnasiums Käthe Kollwitz;Erweiterungsbau Musikgymnasium Käthe Kollwitz;Росток (Rostock);Германия;Европа;350;Architekturbüro Albert und Baier;INROS LACKNER SE (техническое оснащение/акустическая доработка);19 декабря 2025;"Флексибельный концертный зал на 350 мест как ядро нового корпуса музыкальной гимназии; акустически оптимизированные репетиционные помещения.";https://www.ndr.de/nachrichten/mecklenburg-vorpommern/rostock/rostock-neubau-fuer-musikgymnasium-kaethe-kollwitz-fertig,mvregiorostock-2056.html;https://www.inros-lackner.de/de/projekte/komplexe-gebaeudeplanung/forschungs-und-bildungsbauten/musikgymnasium-kaethe-kollwitz-rostock;;не проверен
Музыкальные залы;Music Mansion;н/д;Буэнос-Айрес;Аргентина;Латинская Америка;300;н/д;н/д;ноя.25;Новый камерный концертный зал в центре Буэнос-Айреса от Supernova Entertainment и RGB, спроектирован для интимного контакта артиста и публики.;https://capturandomusica.com.ar/2025/11/music-mansion-la-nueva-sala-portena-donde-la-musica-y-el-arte-se-encuentran-en-una-experiencia-unica/;"https://capturandomusica.com.ar/2025/11/music-mansion-la-nueva-sala-portena-donde-la-musica-y-el-arte-se-encuentran-en-una-experiencia-unica/; https://tumusicahoy.com/en/music-mansion-opens-its-doors-in-buenos-aires/ — указаны только продюсеры Supernova Entertainment и RGB, архитектор и акустик не названы";;не проверен
Музыкальные залы;Bodu River Cultural Centre — rehearsal/performance hall (伯渎河文化中心・排练厅);Bodu River Cultural Centre / 伯渎河文化中心;Уси;Китай;Азия;300;东南大学建筑设计研究院有限公司 (Southeast University Architectural Design and Research Institute, SUADRI);н/д;21 апреля 2025 (сдача объекта);"Комплекс на канале Даюньхэ с библиотекой, галереей и репетиционным залом со сдвижными трибунами до 300 мест; фасады из чистого бетона, перфорированного UHPC и стекла.";https://www.wuxi.gov.cn/doc/2025/04/21/4547550.shtml;"https://www.archiposition.com/items/b277c2baa0; http://dzb.jzsbs.com/epaper/jzsb/pc/content/202304/03/content_20535.html";;не проверен
Музыкальные залы;Auditorio del Conservatorio Superior de Música Andrés de Vandelvira;Conservatorio Superior de Música de Jaén;Хаэн (Jaén);Испания;Европа;295;Antonio García Bueno, Fernando Suárez Corchete, Lorenzo Muro Álvarez (García Bueno Arquitectos);н/д;официальное открытие 5 декабря 2025 (занятия начались 22 сентября 2025);Новое здание консерватории (4650 кв.м) с собственным аудиторио для концертов, построено после более чем десятилетия ожидания.;https://cadenaser.com/andalucia/2025/12/05/el-presidente-de-la-junta-inaugura-el-nuevo-conservatorio-superior-de-musica-de-jaen-tras-mas-de-una-decada-de-reivindicaciones-radio-jaen/;https://www.agenciaandaluzaeducacion.es/index.php/comunicacion/noticias/finalizan-las-obras-del-conservatorio-superior-de-musica-de-jaen-con-una-inversion-superior-107-millones;;не проверен
Музыкальные залы;サーラ嬬恋 大ホール (Sāra Tsumagoi, большой зал);Сāра Цумагои (новое здание сельского дома культуры, Tsumagoi Village Hall);Село Цумагои, преф. Гумма;Япония;Азия;280;Fukushima Architectural Design Office (福島建築設計事務所);Yamaha Corporation (акустический дизайн, космический аудио-группа);август–октябрь 2025 (竣工 2025年8月, официальное открытие — октябрь 2025);"Многофункциональный зал с подвижным полом на 280 мест в составе нового сельского культурного центра с библиотекой; построен из местной лиственницы, использует геотермальное отопление; служит также эвакуационным пунктом на случай ЧС.";https://acoustic-design.yamaha.com/_cases/multipurpose/index.html;;;не проверен
Музыкальные залы;Elaine S. Rosen Music Room / concert space, Finkelstein Performing Arts Center;Finkelstein Performing Arts Center, Crafton Hills College;Юкейпа, Калифорния;США;Северная Америка;274 (основной зал центра);DLR Group;DLR Group (собственная акустическая служба бюро);торжественное открытие 19 сентября 2025;"Новое здание на 24 000 кв. футов заменило оригинальный центр 1978 года; включает музыкальный зал, лаборатории и современное аудиозаписывающее оборудование, ориентировано на LEED Gold.";https://www.dlrgroup.com/firm-news/crafton-hills-college-performing-arts-center-ribbon-cutting/;https://www.dlrgroup.com/work/crafton-hills-college-pac/;;не проверен
Музыкальные залы;Nieuwe Grote Theaterzaal, Koninklijk Conservatorium Brussel;Koninklijk Conservatorium Brussel, Campus Kaai;Брюссель (Anderlecht);Бельгия;Европа;250;Origin Architecture & Engineering, A2RC Architects et FVWW (groupement);Daidalos Peutz;декабрь 2025 (первая постановка 4–13 декабря 2025);Новый зал на кампусе Kaai с современным свето- и звукооборудованием, открыт постановкой мюзикла My Fair Lady силами студентов консерватории.;https://press.ehb.be/persbericht-vlaamse-versie-van-my-fair-lady-opent-de-nieuwe-grote-theaterzaal-van-het-koninklijk-conservatorium-brussel;https://www.architectura.be/nl/nieuws/ingrijpende-transformatie-koninklijk-conservatorium-brussel-naar-ontwerp-van-origin-a2rc-fvww-van-start/;;не проверен
Музыкальные залы;Jim and Marilyn Dean Recital Hall;Dean Family Performing Arts Center, Dordt University;Су-Сентер, Айова;США;Северная Америка;250 (макс.);н/д;н/д;торжественное открытие/посвящение 18 октября 2025;Новый камерный зал для студенческих концертов и выступлений ансамблей христианского университета, построен в рамках кампусного строительства 2024–2025 гг.;https://www.dordt.edu/news/dordt-university-to-dedicate-new-campus-spaces-during-defender-days;;;не проверен
Музыкальные залы;John Barry Performance Hall;Falls Music Center, Phillips Academy Andover;Андовер, Массачусетс;США;Северная Америка;238;ARC/Architectural Resources Cambridge;Kirkegaard;"завершено в 2025; первый концерт — конец февраля 2025, торжественное открытие 9 мая 2025";"Первое здание, построенное специально для музыкальной программы школы Phillips Academy за почти 250 лет её истории; проект нулевого выброса углерода на площадке (32 геотермальные скважины).";https://www.andover.edu/news/2025/falls-music-center-dedication;https://www.wconline.com/articles/98266-armstrong-wins-cisca-award-for-phillips-hall;;не проверен
Музыкальные залы;Auditorium du Conservatoire Nina Simone;Conservatoire Nina Simone;Романвиль (Romainville);Франция;Европа;120 (jusqu'à 220 debout);н/д;н/д;20 сентября 2025;После реконструкции и расширения консерватория получила модульный аудиториум для концертов и увеличила приём на 200 учеников.;https://www.est-ensemble.fr/inauguration-du-nouveau-conservatoire-nina-simone-romainville;;;не проверен
Музыкальные залы;Performance Hall (в составе Crewe Center for the Arts);Crewe Center for the Arts, University of Southern Maine;Портленд (Мэн);США;Северная Америка;200;Perkins Eastman (совместно с Consigli Construction и Oak Point Associates);Jaffe Holden Acoustics;3 октября 2025 (торжественное открытие);"Зал для выступлений внутри нового 40 000-кв.-футового арт-центра USM с фасадом, меняющим цвет как отсылка к морской тематике Мэна; университет стал первым 'All-Steinway' колледжем штата.";https://usm.maine.edu/news/usm-celebrates-grand-opening-of-crewe-center-for-the-arts-in-portland/;https://www.linkedin.com/posts/mark-holden-3674627_fantastic-opening-at-the-crewe-center-at-activity-7381432041306746880--lEc;;не проверен
Музыкальные залы;Auditorium François Hadji-Lazaro;Conservatoire Joséphine Baker;Пре-Сен-Жерве (Le Pré-Saint-Gervais);Франция;Европа;200;Ivars & Ballet (architectes mandataires), avec Adquatio architectes;н/д;21 ноября 2025;Новое здание консерватории открыто трёхдневным фестивалем с симфоническим концертом преподавателей в новом аудиториуме.;https://www.est-ensemble.fr/inauguration-conservatoire-pre-saint-gervais;"https://www.at-sceno.fr/construction-d-un-conservatoire-musique-et-danse-le-pre-saint-gervais ; https://fr.linkedin.com/posts/adquatio-architectes_culture-architecture-conservatoire-activity-7381234091662139392-9ZuR";;не проверен
